Genus,Group,Family,Source
Mcvaughia,A,Malpighiaceae,APG4
Meadia,A,Primulaceae,APG4
Mearnsia,A,Myrtaceae,APG4
Mecardonia,A,Plantaginaceae,APG4
Mechowia,A,Amaranthaceae,APG4
Meciclis,A,Orchidaceae,APG4
Meckelia,A,Malpighiaceae,APG4
Mecodium,F,Hymenophyllaceae,TPL
Mecomischus,A,Asteraceae,APG4
Meconella,A,Papaveraceae,APG4
Meconopsis,A,Papaveraceae,APG4
Mecopus,A,Fabaceae,APG4
Mecosa,A,Orchidaceae,APG4
Mecosorus,F,Polypodiaceae,TPL
Mecostylis,A,Euphorbiaceae,APG4
Mecranium,A,Melastomataceae,APG4
Medea,A,Euphorbiaceae,APG4
Medemia,A,Arecaceae,APG4
Medeola,A,Liliaceae,APG4
Mediasia,A,Apiaceae,APG4
Medicago,A,Fabaceae,APG4
Medicia,A,Gelsemiaceae,APG4
Medicosma,A,Rutaceae,APG4
Medicusia,A,Asteraceae,APG4
Medinilla,A,Melastomataceae,APG4
Medinillopsis,A,Melastomataceae,APG4
Mediocactus,A,Cactaceae,APG4
Mediocalcar,A,Orchidaceae,APG4
Mediocereus,A,Cactaceae,APG4
Mediolobivia,A,Cactaceae,APG4
Mediorebutia,A,Cactaceae,APG4
Mediusella,A,Sarcolaenaceae,APG4
Medranoa,A,Asteraceae,APG4
Medusagyne,A,Ochnaceae,APG4
Medusandra,A,Peridiscaceae,APG4
Medusantha,A,Lamiaceae,APG4
Medusanthera,A,Stemonuraceae,APG4
Medusather,A,Poaceae,APG4
Medusea,A,Euphorbiaceae,APG4
Medyphylla,A,Fabaceae,APG4
Meeboldia,A,Apiaceae,APG4
Meeboldina,A,Restionaceae,APG4
Meehania,A,Lamiaceae,APG4
Meehaniopsis,A,Lamiaceae,APG4
Megabaria,A,Phyllanthaceae,APG4
Megabotrya,A,Rutaceae,APG4
Megacarpaea,A,Brassicaceae,APG4
Megacarpha,A,Rubiaceae,APG4
Megacaryon,A,Boraginaceae,APG4
Megaclinium,A,Orchidaceae,APG4
Megacodon,A,Gentianaceae,APG4
Megacorax,A,Onagraceae,APG4
Megadenia,A,Brassicaceae,APG4
Megahertzia,A,Proteaceae,APG4
Megalachne,A,Poaceae,APG4
Megalastrum,F,Dryopteridaceae,TPL
Megaleranthis,A,Ranunculaceae,APG4
Megalobivia,A,Cactaceae,APG4
Megalochlamys,A,Acanthaceae,APG4
Megalodonta,A,Asteraceae,APG4
Megalonium,A,Crassulaceae,APG4
Megalopanax,A,Araliaceae,APG4
Megaloprotachne,A,Poaceae,APG4
Megalopus,A,Rubiaceae,APG4
Megalorchis,A,Orchidaceae,APG4
Megalostoma,A,Acanthaceae,APG4
Megalostylis,A,Euphorbiaceae,APG4
Megalotheca,A,Restionaceae,APG4
Megalotus,A,Orchidaceae,APG4
Megaphrynium,A,Marantaceae,APG4
Megaphyllaea,A,Meliaceae,APG4
Megaphyllum,A,Rubiaceae,APG4
Megapleilis,A,Gesneriaceae,APG4
Megapterium,A,Onagraceae,APG4
Megarrhena,A,Cyperaceae,APG4
Megarrhiza,A,Cucurbitaceae,APG4
Megasea,A,Saxifragaceae,APG4
Megaskepasma,A,Acanthaceae,APG4
Megastachya,A,Poaceae,APG4
Megastigma,A,Rutaceae,APG4
Megastoma,A,Boraginaceae,APG4
Megastylis,A,Orchidaceae,APG4
Megathyrsus,A,Poaceae,APG4
Megatritheca,A,Malvaceae,APG4
Megistostegium,A,Malvaceae,APG4
Megistostigma,A,Euphorbiaceae,APG4
Megozipa,A,Lentibulariaceae,APG4
Mehraea,A,Gentianaceae,APG4
Meialisa,A,Euphorbiaceae,APG4
Meiandra,A,Melastomataceae,APG4
Meiapinon,A,Linaceae,APG4
Meibomia,A,Fabaceae,APG4
Meiemianthera,A,Fabaceae,APG4
Meiena,A,Loranthaceae,APG4
Meineckia,A,Phyllanthaceae,APG4
Meiocarpidium,A,Annonaceae,APG4
Meiogyne,A,Annonaceae,APG4
Meioluma,A,Sapotaceae,APG4
Meiomeria,A,Amaranthaceae,APG4
Meionandra,A,Rubiaceae,APG4
Meionectes,A,Haloragaceae,APG4
Meionula,A,Lentibulariaceae,APG4
Meiostemon,A,Combretaceae,APG4
Meiota,A,Arecaceae,APG4
Meiracyllium,A,Orchidaceae,APG4
Meisneria,A,Melastomataceae,APG4
Meistera,A,Zingiberaceae,APG4
Meisteria,A,Ericaceae,APG4
Meizotropis,A,Fabaceae,APG4
Melachone,A,Rubiaceae,APG4
Meladerma,A,Apocynaceae,APG4
Melaleuca,A,Myrtaceae,APG4
Melaleucon,A,Myrtaceae,APG4
Melampirum,A,Scrophulariaceae,APG4
Melampodium,A,Asteraceae,APG4
Melampyrum,A,Orobanchaceae,APG4
Melananthera,A,Asteraceae,APG4
Melananthus,A,Solanaceae,APG4
Melanchrysum,A,Asteraceae,APG4
Melancium,A,Cucurbitaceae,APG4
Melancranis,A,Cyperaceae,APG4
Melandrium,A,Caryophyllaceae,APG4
Melandryum,A,Caryophyllaceae,APG4
Melanea,A,Rubiaceae,APG4
Melanidion,A,Brassicaceae,APG4
Melanium,A,Lythraceae,APG4
Melanobatus,A,Rosaceae,APG4
Melanocalyx,A,Campanulaceae,APG4
Melanocarpum,A,Amaranthaceae,APG4
Melanocarya,A,Celastraceae,APG4
Melanocenchris,A,Poaceae,APG4
Melanochyla,A,Anacardiaceae,APG4
Melanococca,A,Anacardiaceae,APG4
Melanocommia,A,Anacardiaceae,APG4
Melanodendron,A,Asteraceae,APG4
Melanodiscus,A,Sapindaceae,APG4
Melanolepis,A,Euphorbiaceae,APG4
Melanoleuca,A,Myrtaceae,APG4
Melanoloma,A,Asteraceae,APG4
Melanophylla,A,Torricelliaceae,APG4
Melanopsidium,A,Rubiaceae,APG4
Melanorrhea,A,Anacardiaceae,APG4
Melanorrhoea,A,Anacardiaceae,APG4
Melanortocarya,A,Boraginaceae,APG4
Melanosciadium,A,Apiaceae,APG4
Melanoselinum,A,Apiaceae,APG4
Melanoseris,A,Asteraceae,APG4
Melanosinapis,A,Brassicaceae,APG4
Melanospermum,A,Scrophulariaceae,APG4
Melanostachya,A,Restionaceae,APG4
Melanosticta,A,Fabaceae,APG4
Melanoxerus,A,Rubiaceae,APG4
Melanoxylon,A,Fabaceae,APG4
