Genus,Group,Family,Source
Brocchia,A,Asteraceae,APG4
Brocchinia,A,Bromeliaceae,APG4
Brochoneura,A,Myristicaceae,APG4
Brochosiphon,A,Acanthaceae,APG4
Brockmania,A,Malvaceae,APG4
Brodiaea,A,Asparagaceae,APG4
Brodriguesia,A,Fabaceae,APG4
Brombya,A,Rutaceae,APG4
Bromelia,A,Bromeliaceae,APG4
Bromelica,A,Poaceae,APG4
Bromheadia,A,Orchidaceae,APG4
Bromidium,A,Poaceae,APG4
Bromofestuca X,A,Poaceae,APG4
Bromopsis,A,Poaceae,APG4
Bromuniola,A,Poaceae,APG4
Bromus,A,Poaceae,APG4
Brongniartia,A,Fabaceae,APG4
Brongniartikentia,A,Arecaceae,APG4
Bronnia,A,Fouquieriaceae,APG4
Bronwenia,A,Malpighiaceae,APG4
Brookea,A,Plantaginaceae,APG4
Brosimopsis,A,Moraceae,APG4
Brosimum,A,Moraceae,APG4
Brossaea,A,Ericaceae,APG4
Brossardia,A,Brassicaceae,APG4
Brossea,A,Ericaceae,APG4
Broughtonia,A,Orchidaceae,APG4
Brousemichea,A,Poaceae,APG4
Broussaisia,A,Hydrangeaceae,APG4
Broussonetia,A,Moraceae,APG4
Browallia,A,Solanaceae,APG4
Brownanthus,A,Aizoaceae,APG4
Brownara X,A,Orchidaceae,APG4
Brownea,A,Fabaceae,APG4
Browneopsis,A,Fabaceae,APG4
Browningia,A,Cactaceae,APG4
Brownleea,A,Orchidaceae,APG4
Brownlowia,A,Malvaceae,APG4
Brucea,A,Simaroubaceae,APG4
Bruceholstia,A,Apocynaceae,APG4
Bruchmannia,A,Poaceae,APG4
Bruckenthalia,A,Ericaceae,APG4
Bruea,A,Euphorbiaceae,APG4
Brugmansia,A,Solanaceae,APG4
Bruguiera,A,Rhizophoraceae,APG4
Bruguieria,A,Rhizophoraceae,APG4
Bruinsmania,A,Rubiaceae,APG4
Bruinsmia,A,Styracaceae,APG4
Brummitara X,A,Orchidaceae,APG4
Brunella,A,Lamiaceae,APG4
Brunellia,A,Brunelliaceae,APG4
Brunfelsia,A,Solanaceae,APG4
Brunfelsiopsis,A,Solanaceae,APG4
Brunia,A,Bruniaceae,APG4
Brunnera,A,Boraginaceae,APG4
Brunnichia,A,Polygonaceae,APG4
Brunonia,A,Goodeniaceae,APG4
Brunoniella,A,Acanthaceae,APG4
Brunsdonna X,A,Amaryllidaceae,APG4
Brunserine X,A,Amaryllidaceae,APG4
Brunsvigia,A,Amaryllidaceae,APG4
Bruxanelia,A,Rubiaceae,APG4
Brya,A,Fabaceae,APG4
Bryantea,A,Lauraceae,APG4
Bryanthus,A,Ericaceae,APG4
Bryantiella,A,Polemoniaceae,APG4
Bryaspis,A,Fabaceae,APG4
Brylkinia,A,Poaceae,APG4
Bryobium,A,Orchidaceae,APG4
Bryocarpum,A,Primulaceae,APG4
Bryocles,A,Asparagaceae,APG4
Bryodes,A,Plantaginaceae,APG4
Bryodesma,F,Selaginellaceae,TPL
Bryomorphe,A,Asteraceae,APG4
Bryonia,A,Cucurbitaceae,APG4
Bryonopsis,A,Cucurbitaceae,APG4
Bryophyllum,A,Crassulaceae,APG4
Bryopsis,A,Caryophyllaceae,APG4
Bubalina,A,Rubiaceae,APG4
Bubania,A,Plumbaginaceae,APG4
Bubbia X,A,Winteraceae,APG4
Bubon,A,Apiaceae,APG4
Bubonium,A,Asteraceae,APG4
Bucanion,A,Boraginaceae,APG4
Buccaferrea,A,Potamogetonaceae,APG4
Bucco,A,Rutaceae,APG4
Bucculina,A,Orchidaceae,APG4
Bucephalandra,A,Araceae,APG4
Bucephalon,A,Moraceae,APG4
Bucephalora,A,Polygonaceae,APG4
Bucera,A,Combretaceae,APG4
Buceragenia,A,Acanthaceae,APG4
Buceras,A,Combretaceae,APG4
Bucetum,A,Poaceae,APG4
Buchanania,A,Anacardiaceae,APG4
Bucharea,A,Convolvulaceae,APG4
Buchenavia,A,Combretaceae,APG4
Buchenroedera,A,Fabaceae,APG4
Bucheria,A,Myrtaceae,APG4
Buchholzia,A,Capparaceae,APG4
Buchia,A,Rubiaceae,APG4
Buchingera,A,Brassicaceae,APG4
Buchloe,A,Poaceae,APG4
Buchlomimus,A,Poaceae,APG4
Buchnera,A,Orobanchaceae,APG4
Buchnerodendron,A,Achariaceae,APG4
Bucholzia,A,Amaranthaceae,APG4
Buchozia,A,Rubiaceae,APG4
Buchtienia,A,Orchidaceae,APG4
Bucida,A,Combretaceae,APG4
Bucinella,A,Gesneriaceae,APG4
Bucinellina,A,Gesneriaceae,APG4
Buckinghamia,A,Proteaceae,APG4
Bucklandia,A,Hamamelidaceae,APG4
Buckleya,A,Santalaceae,APG4
Buckollia,A,Apocynaceae,APG4
Bucquetia,A,Melastomataceae,APG4
Bucranion,A,Lentibulariaceae,APG4
Buda,A,Caryophyllaceae,APG4
Budawangia,A,Ericaceae,APG4
Buddleia,A,Scrophulariaceae,APG4
Buddleja,A,Scrophulariaceae,APG4
Buekia,A,Zingiberaceae,APG4
Buena,A,Rubiaceae,APG4
Buergersiochloa,A,Poaceae,APG4
Buesia,F,Hymenophyllaceae,TPL
Buesiella,A,Orchidaceae,APG4
Buettneria,A,Malvaceae,APG4
Buffonia,A,Caryophyllaceae,APG4
Bufonia,A,Caryophyllaceae,APG4
Buforrestia,A,Commelinaceae,APG4
Buglossa,A,Boraginaceae,APG4
Buglossoides,A,Boraginaceae,APG4
Buglossum,A,Boraginaceae,APG4
Bugranopsis,A,Fabaceae,APG4
Buhsea,A,Cleomaceae,APG4
Buhsia,A,Capparaceae,APG4
Buiara X,A,Orchidaceae,APG4
Buiningia,A,Cactaceae,APG4
Bukiniczia,A,Plumbaginaceae,APG4
Bulbilis,A,Poaceae,APG4
Bulbine,A,Asphodelaceae,APG4
Bulbinella,A,Asphodelaceae,APG4
Bulbinopsis,A,Asphodelaceae,APG4
Bulbocastanum,A,Apiaceae,APG4
Bulbocodium,A,Colchicaceae,APG4
Bulbophyllaria,A,Orchidaceae,APG4
Bulbophyllopsis,A,Orchidaceae,APG4
Bulbophyllum,A,Orchidaceae,APG4
Bulbostylis,A,Cyperaceae,APG4
Bulbulus,A,Poaceae,APG4
Bulleyia,A,Orchidaceae,APG4
Bulliarda,A,Crassulaceae,APG4
Bullockia,A,Rubiaceae,APG4
Bulnesia,A,Zygophyllaceae,APG4
Bulweria,A,Bignoniaceae,APG4
Bumalda,A,Sapindaceae,APG4
Bumelia,A,Sapotaceae,APG4
Bunburya,A,Rubiaceae,APG4
Bunchosia,A,Malpighiaceae,APG4
Bungarimba,A,Rubiaceae,APG4
Bungea,A,Orobanchaceae,APG4
Bunias,A,Brassicaceae,APG4
Buniella,A,Apiaceae,APG4
Bunioseris,A,Asteraceae,APG4
Buniotrinia,A,Apiaceae,APG4
Bunium,A,Apiaceae,APG4
Bunophila,A,Rubiaceae,APG4
Bupariti,A,Malvaceae,APG4
Buphthalmum,A,Asteraceae,APG4
Bupleuroides,A,Rubiaceae,APG4
Bupleurum,A,Apiaceae,APG4
Buprestis,A,Apiaceae,APG4
Buraeavia,A,Picrodendraceae,APG4
Burasaia,A,Menispermaceae,APG4
Burbidgea,A,Zingiberaceae,APG4
Burcardia,A,Myrtaceae,APG4
Burchardia,A,Colchicaceae,APG4
Burchellia,A,Rubiaceae,APG4
Burckella,A,Sapotaceae,APG4
Burdachia,A,Malpighiaceae,APG4
Bureaua,A,Picrodendraceae,APG4
Bureava,A,Combretaceae,APG4
Bureavella,A,Sapotaceae,APG4
Burgesia,A,Fabaceae,APG4
Burkartia,A,Asteraceae,APG4
Burkea,A,Fabaceae,APG4
Burkillanthus,A,Rutaceae,APG4
Burkillara X,A,Orchidaceae,APG4
Burkillia,A,Fabaceae,APG4
Burkilliodendron,A,Fabaceae,APG4
Burlemarxia,A,Velloziaceae,APG4
Burlingtonia,A,Orchidaceae,APG4
Burmabambus,A,Poaceae,APG4
Burmannia,A,Burmanniaceae,APG4
Burmeistera,A,Campanulaceae,APG4
Burnatastrum,A,Lamiaceae,APG4
Burnatia,A,Alismataceae,APG4
Burnettia,A,Orchidaceae,APG4
Burneya,A,Rubiaceae,APG4
Burnsbaloghia,A,Orchidaceae,APG4
Burragea,A,Onagraceae,APG4
Burrageara X,A,Orchidaceae,APG4
Burretiodendron,A,Malvaceae,APG4
Burretiokentia,A,Arecaceae,APG4
Burroughsia,A,Verbenaceae,APG4
Bursa,A,Brassicaceae,APG4
Bursaria,A,Pittosporaceae,APG4
Bursera,A,Burseraceae,APG4
Burseranthe,A,Meliaceae,APG4
Burtonia,A,Fabaceae,APG4
Burttdavya,A,Rubiaceae,APG4
Burttia,A,Connaraceae,APG4
Burttianthus,A,Araceae,APG4
Busbeckea,A,Capparaceae,APG4
Busbeckia,A,Oleaceae,APG4
Buschia,A,Ranunculaceae,APG4
Buseria,A,Rubiaceae,APG4
Bushia,A,Amaranthaceae,APG4
Bussea,A,Fabaceae,APG4
Bustelma,A,Apocynaceae,APG4
Bustillosia,A,Apiaceae,APG4
Butania,A,Poaceae,APG4
Butayea,A,Acanthaceae,APG4
Butea,A,Fabaceae,APG4
Buteraea,A,Acanthaceae,APG4
Butia,A,Arecaceae,APG4
Butinia,A,Apiaceae,APG4
Butneria,A,Calycanthaceae,APG4
Butomopsis,A,Alismataceae,APG4
Butomus,A,Butomaceae,APG4
Butonica,A,Lecythidaceae,APG4
Buttonia,A,Orobanchaceae,APG4
Butumia,A,Podostemaceae,APG4
Butyagrus X,A,Arecaceae,APG4
Butyrospermum,A,Sapotaceae,APG4
Buxiphyllum,A,Gesneriaceae,APG4
Buxus,A,Buxaceae,APG4
Byblis,A,Byblidaceae,APG4
Byrnesia,A,Crassulaceae,APG4
Byrsanthes,A,Campanulaceae,APG4
Byrsanthus,A,Salicaceae,APG4
Byrsocarpus,A,Connaraceae,APG4
Byrsonima,A,Malpighiaceae,APG4
Byrsophyllum,A,Rubiaceae,APG4
Byrsopteris,F,Dryopteridaceae,TPL
Bystropogon,A,Lamiaceae,APG4
Bythophyton,A,Plantaginaceae,APG4
Byttneria,A,Malvaceae,APG4
Byurlingtonia,A,Orchidaceae,APG4
Caamembeca,A,Polygalaceae,APG4
Caatinganthus,A,Asteraceae,APG4
Caballeroa,A,Plumbaginaceae,APG4
Cabi,A,Malpighiaceae,APG4
Cabobanthus,A,Asteraceae,APG4
Cabomba,A,Cabombaceae,APG4
Cabralea,A,Meliaceae,APG4
Cabrera,A,Poaceae,APG4
Cabreraea,A,Asteraceae,APG4
Cabreriella,A,Asteraceae,APG4
Cabucala,A,Apocynaceae,APG4
Cacabus,A,Solanaceae,APG4
Cacalia,A,Asteraceae,APG4
Cacaliopsis,A,Asteraceae,APG4
Cacao,A,Malvaceae,APG4
Cacara,A,Fabaceae,APG4
Caccinia,A,Boraginaceae,APG4
Cachrys,A,Apiaceae,APG4
Cacosmanthus,A,Sapotaceae,APG4
Cacosmia,A,Asteraceae,APG4
Cacoucia,A,Combretaceae,APG4
Cactodendron,A,Cactaceae,APG4
Cactus,A,Cactaceae,APG4
Cacuvallum,A,Fabaceae,APG4
Cadaba,A,Capparaceae,APG4
Cadalvena,A,Costaceae,APG4
Cadamba,A,Rubiaceae,APG4
Cadelium,A,Fabaceae,APG4
Cadellia,A,Surianaceae,APG4
Cadetia,A,Orchidaceae,APG4
Cadia,A,Fabaceae,APG4
Cadiscus,A,Asteraceae,APG4
Caelebogyne,A,Euphorbiaceae,APG4
Caelestina,A,Asteraceae,APG4
Caelestium,A,Polygonaceae,APG4
Caelodepas,A,Euphorbiaceae,APG4
Caelospermum,A,Rubiaceae,APG4
Caenopteris,F,Aspleniaceae,TPL
Caesalpinia,A,Fabaceae,APG4
Caesarea,A,Francoaceae,APG4
Caesia,A,Asphodelaceae,APG4
Caesulia,A,Asteraceae,APG4
Cafe,A,Rubiaceae,APG4
Cailliea,A,Fabaceae,APG4
Cailliella,A,Melastomataceae,APG4
Caina,A,Loganiaceae,APG4
Cainito,A,Sapotaceae,APG4
Caiophora,A,Loasaceae,APG4
Cajalbania,A,Fabaceae,APG4
Cajan,A,Fabaceae,APG4
Cajanum,A,Fabaceae,APG4
Cajanus,A,Fabaceae,APG4
Cajophora,A,Loasaceae,APG4
Cajuputi,A,Myrtaceae,APG4
Cakile,A,Brassicaceae,APG4
Calacanthus,A,Acanthaceae,APG4
Calacinum,A,Polygonaceae,APG4
Caladenia,A,Orchidaceae,APG4
Caladiopsis,A,Araceae,APG4
Caladium,A,Araceae,APG4
Calais,A,Asteraceae,APG4
Calamagrostis,A,Poaceae,APG4
Calamaria,F,Isoetaceae,TPL
Calamicromeria X,A,Lamiaceae,APG4
Calamina,A,Poaceae,APG4
Calamintha,A,Lamiaceae,APG4
Calamistrum,F,Marsileaceae,TPL
Calammophila X,A,Poaceae,APG4
Calamochloa,A,Poaceae,APG4
Calamochloe,A,Poaceae,APG4
Calamophila X,A,Poaceae,APG4
Calamophyllum,A,Aizoaceae,APG4
Calamosagus,A,Arecaceae,APG4
Calamovilfa,A,Poaceae,APG4
Calampelis,A,Bignoniaceae,APG4
Calamphoreus,A,Scrophulariaceae,APG4
Calamus,A,Arecaceae,APG4
Calanchoe,A,Crassulaceae,APG4
Calanda,A,Rubiaceae,APG4
Calandrinia,A,Montiaceae,APG4
Calandriniopsis,A,Montiaceae,APG4
Calanthe,A,Orchidaceae,APG4
Calanthea,A,Capparaceae,APG4
Calanthera,A,Poaceae,APG4
Calanthidum,A,Orchidaceae,APG4
Calanthus,A,Gesneriaceae,APG4
Calantica,A,Salicaceae,APG4
Calanticaria,A,Asteraceae,APG4
Calappa,A,Arecaceae,APG4
Calassodia X,A,Orchidaceae,APG4
Calathea,A,Marantaceae,APG4
Calathiana,A,Gentianaceae,APG4
Calathodes,A,Ranunculaceae,APG4
Calathostelma,A,Apocynaceae,APG4
Calatola,A,Metteniusaceae,APG4
Calaunia,A,Moraceae,APG4
Calcaratolobelia,A,Campanulaceae,APG4
Calcareoboea,A,Gesneriaceae,APG4
Calcearia,A,Orchidaceae,APG4
Calceolaria,A,Calceolariaceae,APG4
Calceolus,A,Orchidaceae,APG4
Calcicola,A,Malpighiaceae,APG4
Calciphila,A,Apocynaceae,APG4
Calciphilopteris,F,Pteridaceae,TPL
Calcitrapa,A,Asteraceae,APG4
Caldcluvia,A,Cunoniaceae,APG4
Caldenbachia,A,Acanthaceae,APG4
Calderonella,A,Poaceae,APG4
Calderonia,A,Rubiaceae,APG4
Caldesia,A,Alismataceae,APG4
Calea,A,Asteraceae,APG4
Caleana,A,Orchidaceae,APG4
Calectasia,A,Dasypogonaceae,APG4
Calendula,A,Asteraceae,APG4
Caleopsis,A,Asteraceae,APG4
Calepina,A,Brassicaceae,APG4
Calesiam,A,Anacardiaceae,APG4
Calestania,A,Apiaceae,APG4
Caletia,A,Picrodendraceae,APG4
Caleya,A,Orchidaceae,APG4
Calia,A,Fabaceae,APG4
Calibanus,A,Asparagaceae,APG4
Calibrachoa,A,Solanaceae,APG4
Calicera,A,Calyceraceae,APG4
Calicharis X,A,Amaryllidaceae,APG4
Calicorema,A,Amaranthaceae,APG4
Calicotome,A,Fabaceae,APG4
California,A,Geraniaceae,APG4
Calimeris,A,Asteraceae,APG4
Calinea,A,Dilleniaceae,APG4
Caliphruria,A,Amaryllidaceae,APG4
Calispepla,A,Fabaceae,APG4
Calius,A,Moraceae,APG4
Calla,A,Araceae,APG4
Callaeocarpus,A,Fagaceae,APG4
Callaeolepium,A,Apocynaceae,APG4
Callaeum,A,Malpighiaceae,APG4
Callerya,A,Fabaceae,APG4
Callianassa,A,Plantaginaceae,APG4
Calliandra,A,Fabaceae,APG4
Calliandropsis,A,Fabaceae,APG4
Callianira,A,Piperaceae,APG4
Callianthe,A,Malvaceae,APG4
Callianthemoides,A,Ranunculaceae,APG4
Callianthemum,A,Ranunculaceae,APG4
Calliaspidia,A,Acanthaceae,APG4
Callicarpa,A,Lamiaceae,APG4
Callicephalus,A,Asteraceae,APG4
Callichilia,A,Apocynaceae,APG4
Callichlamys,A,Bignoniaceae,APG4
Callichloea,A,Poaceae,APG4
Callichroa,A,Asteraceae,APG4
Callicocca,A,Rubiaceae,APG4
Callicoma,A,Cunoniaceae,APG4
Callicornia,A,Asteraceae,APG4
Callicysthus,A,Fabaceae,APG4
Calligonum,A,Polygonaceae,APG4
Callilepis,A,Asteraceae,APG4
Callionia,A,Rosaceae,APG4
Calliopsis,A,Asteraceae,APG4
Callipeltis,A,Rubiaceae,APG4
Calliphyllon,A,Orchidaceae,APG4
Calliphysalis,A,Solanaceae,APG4
Calliprora,A,Asparagaceae,APG4
Callipsyche,A,Amaryllidaceae,APG4
Callipteris,F,Athyriaceae,TPL
Callirhoe,A,Malvaceae,APG4
Callisace,A,Apiaceae,APG4
Calliscirpus,A,Cyperaceae,APG4
Callisemaea,A,Fabaceae,APG4
Callisia,A,Commelinaceae,APG4
Callista,A,Orchidaceae,APG4
Callistachys,A,Fabaceae,APG4
Callistemma,A,Asteraceae,APG4
Callistemon,A,Myrtaceae,APG4
Callistephana,A,Fabaceae,APG4
Callistephus,A,Asteraceae,APG4
Callisteris,A,Polemoniaceae,APG4
Callisthene,A,Vochysiaceae,APG4
Callistigma,A,Aizoaceae,APG4
Callistopteris,F,Hymenophyllaceae,TPL
Callistylon,A,Fabaceae,APG4
Callithauma,A,Amaryllidaceae,APG4
Callithronum,A,Orchidaceae,APG4
Callitriche,A,Plantaginaceae,APG4
Callitris,G,Cupressaceae,Apweb
Callitropsis,G,Cupressaceae,Apweb
Callogramme,F,Pteridaceae,TPL
Callopsis,A,Araceae,APG4
Callostylis,A,Orchidaceae,APG4
Callothlaspi,A,Brassicaceae,APG4
Calluna,A,Ericaceae,APG4
Calobota,A,Fabaceae,APG4
Calobotrya,A,Grossulariaceae,APG4
Calocarpum,A,Sapotaceae,APG4
Calocedrus,G,Cupressaceae,Apweb
Calocephalus,A,Asteraceae,APG4
Calochilus,A,Orchidaceae,APG4
Calochlaena,F,Dicksoniaceae,TPL
Calochloa,A,Poaceae,APG4
Calochone,A,Rubiaceae,APG4
Calochortus,A,Liliaceae,APG4
Calococcus,A,Phyllanthaceae,APG4
Calocrater,A,Apocynaceae,APG4
Calodecaryia,A,Meliaceae,APG4
Calodendrum,A,Rutaceae,APG4
Calodryum,A,Meliaceae,APG4
Caloglossum,A,Orchidaceae,APG4
Calogyne,A,Goodeniaceae,APG4
Calolisianthus,A,Gentianaceae,APG4
Calomelanos,F,Pteridaceae,TPL
Calomeria,A,Asteraceae,APG4
Caloncoba,A,Achariaceae,APG4
Calonema,A,Orchidaceae,APG4
Calonyction,A,Convolvulaceae,APG4
Calopappus,A,Asteraceae,APG4
Calophaca,A,Fabaceae,APG4
Calophanes,A,Acanthaceae,APG4
Calophanoides,A,Acanthaceae,APG4
Calophylica,A,Rhamnaceae,APG4
Calophyllum,A,Calophyllaceae,APG4
Calophysa,A,Melastomataceae,APG4
Caloplectus,A,Gesneriaceae,APG4
Calopogon,A,Orchidaceae,APG4
Calopogonium,A,Fabaceae,APG4
Calopsis,A,Restionaceae,APG4
Calopteryx,A,Ericaceae,APG4
Calopyxis,A,Combretaceae,APG4
Calorchis,A,Orchidaceae,APG4
Calorezia,A,Asteraceae,APG4
Calorhabdos,A,Plantaginaceae,APG4
Calorophus,A,Restionaceae,APG4
Calosacme,A,Gesneriaceae,APG4
Calosanthes,A,Bignoniaceae,APG4
Caloscordum,A,Amaryllidaceae,APG4
Calosmon,A,Lauraceae,APG4
Calospatha,A,Arecaceae,APG4
Calospermum,A,Sapotaceae,APG4
Calosteca,A,Poaceae,APG4
Calostemma,A,Amaryllidaceae,APG4
Calostephane,A,Asteraceae,APG4
Calostigma,A,Apocynaceae,APG4
Calotesta,A,Asteraceae,APG4
Calothamnus,A,Myrtaceae,APG4
Calotheca,A,Poaceae,APG4
Calotheria,A,Poaceae,APG4
Calothyrsus,A,Sapindaceae,APG4
Calotis,A,Asteraceae,APG4
Calotropis,A,Apocynaceae,APG4
Calpandria,A,Theaceae,APG4
Calpicarpum,A,Apocynaceae,APG4
Calpidia,A,Nyctaginaceae,APG4
Calpidisca,A,Lentibulariaceae,APG4
Calpidochlamys,A,Moraceae,APG4
Calpidosicyos,A,Cucurbitaceae,APG4
Calpigyne,A,Euphorbiaceae,APG4
Calpocalyx,A,Fabaceae,APG4
Calpurnia,A,Fabaceae,APG4
Calsiama,A,Anacardiaceae,APG4
Caltha,A,Ranunculaceae,APG4
Calucechinus,A,Fagaceae,APG4
Caluera,A,Orchidaceae,APG4
Calvaria,A,Sapotaceae,APG4
Calvelia,A,Amaranthaceae,APG4
Calvoa,A,Melastomataceae,APG4
Calycacanthus,A,Acanthaceae,APG4
Calycadenia,A,Asteraceae,APG4
Calycampe,A,Myrtaceae,APG4
Calycantherum,A,Convolvulaceae,APG4
Calycanthus,A,Calycanthaceae,APG4
Calycera,A,Calyceraceae,APG4
Calycobolus,A,Convolvulaceae,APG4
Calycocarpum,A,Menispermaceae,APG4
Calycocorsus,A,Asteraceae,APG4
Calycodendron,A,Rubiaceae,APG4
Calycodon,A,Poaceae,APG4
Calycogonium,A,Melastomataceae,APG4
Calycolpus,A,Myrtaceae,APG4
Calycomelia,A,Oleaceae,APG4
Calycomis,A,Cunoniaceae,APG4
Calycomorphum,A,Fabaceae,APG4
Calycopeplus,A,Euphorbiaceae,APG4
Calycophyllum,A,Rubiaceae,APG4
Calycophysum,A,Cucurbitaceae,APG4
Calycopteris,A,Combretaceae,APG4
Calycorectes,A,Myrtaceae,APG4
Calycoseris,A,Asteraceae,APG4
Calycosia,A,Rubiaceae,APG4
Calycosiphonia,A,Rubiaceae,APG4
Calycostemma,A,Gesneriaceae,APG4
Calycothrix,A,Myrtaceae,APG4
Calycotome,A,Fabaceae,APG4
Calycotropis,A,Caryophyllaceae,APG4
Calyculogygas,A,Malvaceae,APG4
Calydermos,A,Solanaceae,APG4
Calydorea,A,Iridaceae,APG4
Calylophis,A,Onagraceae,APG4
Calylophus,A,Onagraceae,APG4
Calymella,F,Gleicheniaceae,TPL
Calymenia,A,Nyctaginaceae,APG4
Calymmandra,A,Asteraceae,APG4
Calymmanthera,A,Orchidaceae,APG4
Calymmanthium,A,Cactaceae,APG4
Calymmatium,A,Brassicaceae,APG4
Calymmodon,F,Polypodiaceae,TPL
Calymmostachya,A,Acanthaceae,APG4
Calyntranthele,A,Malpighiaceae,APG4
Calyplectus,A,Lythraceae,APG4
Calypso,A,Orchidaceae,APG4
Calypsodium,A,Orchidaceae,APG4
Calypteriopetalon,A,Euphorbiaceae,APG4
Calypterium,F,Onocleaceae,TPL
Calyptocarpus,A,Asteraceae,APG4
Calyptochloa,A,Poaceae,APG4
Calyptosepalum,A,Putranjivaceae,APG4
Calyptostylis,A,Malpighiaceae,APG4
Calyptracordia,A,Boraginaceae,APG4
Calyptraemalva,A,Malvaceae,APG4
Calyptranthe,A,Saxifragaceae,APG4
Calyptranthera,A,Apocynaceae,APG4
Calyptranthes,A,Myrtaceae,APG4
Calyptranthus,A,Myrtaceae,APG4
Calyptraria,A,Melastomataceae,APG4
Calyptrella,A,Melastomataceae,APG4
Calyptridium,A,Montiaceae,APG4
Calyptrimalva,A,Malvaceae,APG4
Calyptrion,A,Violaceae,APG4
Calyptrocalyx,A,Arecaceae,APG4
Calyptrocarya,A,Cyperaceae,APG4
Calyptrochilum,A,Orchidaceae,APG4
Calyptrocoryne,A,Araceae,APG4
Calyptrogenia,A,Myrtaceae,APG4
Calyptrogyne,A,Arecaceae,APG4
Calyptromyrcia,A,Myrtaceae,APG4
Calyptronoma,A,Arecaceae,APG4
Calyptroon,A,Phyllanthaceae,APG4
Calyptropsidium,A,Myrtaceae,APG4
Calyptrosciadium,A,Apiaceae,APG4
Calyptrosicyos,A,Cucurbitaceae,APG4
Calyptrospatha,A,Euphorbiaceae,APG4
Calyptrospermum,A,Oleaceae,APG4
Calyptrostegia,A,Thymelaeaceae,APG4
Calyptrotheca,A,Didiereaceae,APG4
Calysaccion,A,Calophyllaceae,APG4
Calysericos,A,Thymelaeaceae,APG4
Calysphyrum,A,Caprifoliaceae,APG4
Calystegia,A,Convolvulaceae,APG4
Calythrix,A,Myrtaceae,APG4
Calythropsis,A,Myrtaceae,APG4
Calytrix,A,Myrtaceae,APG4
Calyxhymenia,A,Nyctaginaceae,APG4
Camarea,A,Malpighiaceae,APG4
Camaridium,A,Orchidaceae,APG4
Camarotea,A,Acanthaceae,APG4
Camarotis,A,Orchidaceae,APG4
Camassia,A,Asparagaceae,APG4
Cambajuva,A,Poaceae,APG4
Cambania,A,Meliaceae,APG4
Cambessedesia,A,Melastomataceae,APG4
Cambogia,A,Clusiaceae,APG4
Camchaya,A,Asteraceae,APG4
Camelina,A,Brassicaceae,APG4
Camelinopsis,A,Brassicaceae,APG4
Camellia,A,Theaceae,APG4
Camelostalix,A,Orchidaceae,APG4
Cameraria,A,Apocynaceae,APG4
Camerunia,A,Apocynaceae,APG4
Camilleugenia,A,Orchidaceae,APG4
Camirium,A,Euphorbiaceae,APG4
Camissonia,A,Onagraceae,APG4
Camissoniopsis,A,Onagraceae,APG4
Camoensia,A,Fabaceae,APG4
Camolenga,A,Cucurbitaceae,APG4
Camonea,A,Convolvulaceae,APG4
Campana,A,Bignoniaceae,APG4
Campanea,A,Gesneriaceae,APG4
Campanocalyx,A,Rubiaceae,APG4
Campanolea,A,Oleaceae,APG4
Campanula,A,Campanulaceae,APG4
Campanulastrum,A,Campanulaceae,APG4
Campanulopsis,A,Campanulaceae,APG4
Campanulorchis,A,Orchidaceae,APG4
Campanumoea,A,Campanulaceae,APG4
Campbellara X,A,Orchidaceae,APG4
Campbellia,A,Orobanchaceae,APG4
Campderia,A,Polygonaceae,APG4
Campe,A,Brassicaceae,APG4
Campecarpus,A,Arecaceae,APG4
Campeiostachys,A,Poaceae,APG4
Campelepis,A,Apocynaceae,APG4
Campella,A,Poaceae,APG4
Campestigma,A,Apocynaceae,APG4
Camphora,A,Lauraceae,APG4
Camphoromoea,A,Lauraceae,APG4
Camphoromyrtus,A,Myrtaceae,APG4
Camphorosma,A,Amaranthaceae,APG4
Camphusia,A,Goodeniaceae,APG4
Campimia,A,Melastomataceae,APG4
Campium,F,Dryopteridaceae,TPL
Campnosperma,A,Anacardiaceae,APG4
Campomanesia,A,Myrtaceae,APG4
Campovassouria,A,Asteraceae,APG4
Campsiandra,A,Fabaceae,APG4
Campsidium,A,Bignoniaceae,APG4
Campsis,A,Bignoniaceae,APG4
Camptacra,A,Asteraceae,APG4
Camptandra,A,Zingiberaceae,APG4
Campteria,F,Pteridaceae,TPL
Camptocarpus,A,Apocynaceae,APG4
Camptodium,F,Tectariaceae,TPL
Camptolepis,A,Sapindaceae,APG4
Camptoloma,A,Scrophulariaceae,APG4
Camptophytum,A,Rubiaceae,APG4
Camptopus,A,Rubiaceae,APG4
Camptorrhiza,A,Colchicaceae,APG4
Camptosema,A,Fabaceae,APG4
Camptosorus,F,Aspleniaceae,TPL
Camptostemon,A,Malvaceae,APG4
Camptostylus,A,Achariaceae,APG4
Camptotheca,A,Nyssaceae,APG4
Camptouratea,A,Ochnaceae,APG4
Campuleia,A,Scrophulariaceae,APG4
Campuloa,A,Poaceae,APG4
Campuloclinium,A,Asteraceae,APG4
Campulosus,A,Poaceae,APG4
Campylandra,A,Asparagaceae,APG4
Campylanthera,A,Malvaceae,APG4
Campylanthus,A,Plantaginaceae,APG4
Campylia,A,Geraniaceae,APG4
Campylobotrys,A,Rubiaceae,APG4
Campylocaryum,A,Boraginaceae,APG4
Campylocentrum,A,Orchidaceae,APG4
Campylocercum,A,Ochnaceae,APG4
Campylochiton,A,Combretaceae,APG4
